スレ数,ID,コメント,投稿時刻
0,ID:Xxt1Soh+0,!extend:checked:vvvvvv:  ここはメイドインアビスについて語るスレです。  Webコミックガンマにて毎月10・20・30日のいずれかに更新。  コミックス1～7巻発売中。  単行本未収録の一部は無料で読めます。  http://mangalifewin.takeshobo.co.jp/rensai/madeinabyss/  ◆あらすじ  隅々まで探索されつくした世界に、唯一残された秘境の大穴『アビス』。  どこまで続くとも知れない深く巨大なその縦穴には、奇妙奇怪な生物たちが生息し、今の人類では作りえない貴重な遺物が眠っている。  アビスの縁に築かれた街『オース』に暮らす孤児のリコは、いつか母のような偉大な探窟家になり、アビスの謎を解き明かすことを夢見ていた。  そんなある日、リコはアビスを探窟中に、少年の姿をしたロボットを拾い…？  ◆作者Twitter　http://twitter.com/tukushia  ◆作者HP http://doorbeetle.sa●kura.ne.jp/  （２ｃｈではさくらインターネットへのリンクはNGです、●を削除してアクセスしてください）  ◆公式アニメサイト  http://miabyss.com  ◆公式アンソロジー  http://mangalifewin.takeshobo.co.jp/rensai/abyss_anthology/  次スレは>>950が建ててください。建てられない場合、安価指定お願いします。  ・次スレ作成時>>1の文頭1～2行目に  「!extend:checked:vvvvvv:」をコピペして貼り付け、3行目から通常テンプレを書き込んで下さい。  ◆前スレ  【つくしあきひと】メイドインアビス 深界165層  https://fate.5ch.net/test/read.cgi/comic/1550157150/ VIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configured  https://twitter.com/5chan_nel (5ch newer account),2019/02/28 0:15:33
1,ID:Xxt1Soh+0,●アビスの上昇負荷  1層『アビスの淵』/0～1350m/→軽い目眩と吐き気  2層『誘いの森』/1350～2600m/→重い吐き気、頭痛、末端の痺れ  3層『大断層』/2600～7000m/→上記に加え、平衡感覚に異常、幻覚や幻聴  4層『巨人の盃』/7000～12000m/→全身に激痛、穴という穴から流血  5層『なきがらの海』/12000～13000m/→全感覚の喪失、それに伴う意識混濁、自傷行為  6層『還らずの都』/13000～15500m/→人間性の喪失、もしくは死に至る  7層『最果ての渦』/15500～???m/→確実な死  深界極点『奈落の底』/20000m以深/   奈落文字解読表vol.5  http://i.imgur.com/ErwG1rc.jpg   奈落文字の更新版  http://i.imgur.com/COgjiUz.jpg   (おいこら対策),2019/02/28 0:18:54
2,ID:Xxt1Soh+0,●質問や考察についての注意　  同一スレ内で同じ質問が頻発すると辛辣な回答が返ってくる事が多々あります。  お互い無用な衝突を避ける為に過去レスや原作をよく読み返して、自己解決に努めましょう！   ◆よくある質問  Q.ライザの白笛ってトーカ？  A.トーカと結婚した時点で今の物と同じ白笛を持っている事、トーカが死んだのは四層より上であり、条件を満たすのは困難と思われます。  Q.オーゼンの言うあの子って？  A.ライザがリコの育児係に指名したジルオと思われます。  Q.祈手って全員ゾアホ？  A.自ら黎明卿の理想に身を捧げた者が祈り手になるようです。  精神を植え付けられても、自我を切り替えて独立化する事も可能なようです。  Q.ゾアホリックは破壊されたの？  A.ニコ生情報によれば「プルシュカの願いを汲んだので、破壊していない」との事。  考察は諸説ある。  Q.トコシエソウ？  A.トコシエコウ←,2019/02/28 0:19:24
3,ID:Xxt1Soh+0,◆悠遠語考察  ハディマエ:ああ、おっと、感嘆符も表している  インデブ:嘘のようだけど本当(6割)、感動(4割)  ハニいすく・ハニースク:寝床とヒトの食事 、おやど  ジャコぷふ:頼む(4割)、特別(3割)、刺激(3割)  イルぶる:村(5割)、揺りかご(4割)、母(1割)  コンぼす:了解  マェン:甘めの肯定(そうだよ、程度？)  ンガム:甘めの否定(違うよ、程度？)  イェンメェ:ありがとう(8割)  リェゾーチ:ごめんなさい  ミミウ:ちょっと失礼  ファモ:またね  ラホッス:してほしい、おねがい  サンサイカ:行きたい  ケフケフェリ？:どのくらいの価値？  ｼｭｶｴｲｷﾞｨﾂｺﾞｯｼｭｿｽ:私を買うと破産します  ｺﾌﾞﾁｬｯｷｭｳｼﾞﾝｼｰﾂﾌｧｯﾌ:君はロボとふわふわを知っているか？  ﾗﾎｯﾁｭｿｽｼﾞﾝｼｰﾂﾌｧｯﾌ:ロボおよびふわふわを求めています  んガンガ:いやその  までぃも:わかんない  めんメェ:おいで  ハグン:けむり  ハク:たからもの  ブルーそう:こんにちは  クグふぁもホンでいっそす:こどもはかわいいですね  ファッツェンぶれェ:いくぜ皆のもの  インデまぇン:もちろんだよ  ウィーゴリィイー:押さえつけて  サゾンファッツ:鉄線隊  メポポホン:居眠りさん  クベキャサス:焼いた材料(クベク)すする(ヤッサス) ぬ,2019/02/28 0:20:03
4,ID:Xxt1Soh+0,◆新規固有名詞 (暫定)  ドグープ:目の奥(血の家？)  ファプタ:姫  メディポー:楽器  メディポトゥート:ヒト結晶の楽器  ゾーム:呪い   ◆えろこさんテンプレ  7巻P156　ヴエロエルコの重なった文字解読  https://i.imgur.com/LhiesoQ.png  「踏みにじられた」「わたしの」「かわいそうな」「かわいい」   ◆劇場版テンプレ  劇場版総集編　【前編】旅立ちの夜明け  2019年1月4日（金）公開   劇場版総集編　【後編】 放浪する黄昏  2019年1月18日（金）公開   ◆履歴のグラフ化  https://i.imgur.com/595JZMz.png  https://i.imgur.com/VzwWw8y.png  https://i.imgur.com/MP3i2BZ.png,2019/02/28 0:20:52
5,ID:mAwgL6Iq0,乙  >>1 にはたくさんのお礼を言いたい,2019/02/28 0:25:26
6,ID:rXnNWezb0,>>1  乙ットバス   今日の更新は・・・まあ期待するな,2019/02/28 0:35:30
7,ID:4pt9KZNI0,>>1ここが分割した新しいミーティね？,2019/02/28 0:37:48
8,ID:kDJNjXs+0,>>1乙そす  ほすほす,2019/02/28 0:39:38
9,ID:hcONQDCO0,>>1  乙！！   更新あるかね～,2019/02/28 0:40:51
10,ID:wdOQh/58d,>>1乙おつおつおっ   なななナナチのお、お、おっ、おっ   ナナチのオチチをーーーーーーーーーーーーっっっっっ！！！！！,2019/02/28 1:16:29
11,ID:dc6K45tt0,いちおつ,2019/02/28 1:16:42
12,ID:UE7zJLE3a,おつほす,2019/02/28 1:20:28
13,ID:O4OFUwpw0,おつまああ,2019/02/28 8:38:16
14,ID:80qV/t+S0,乙んなぁ,2019/02/28 8:40:34
15,ID:6GE6vSI8M,乙   更新まあああああああああああああああああ,2019/02/28 9:03:23
16,ID:cF1jPfvV0,更新…まだ…？,2019/02/28 9:05:00
17,ID:1wUoi/3x0,んんなぁぁぁ,2019/02/28 10:08:06
18,ID:kAZIhJC50,更新予定日ってでてなかったっけ？  25日ぐらいってどっかで見たような気がしたんだけど,2019/02/28 11:37:40
19,ID:CyqVrZXT0,ゲェ～まぁぁぁ…3/25って事そすか？,2019/02/28 11:46:56
20,ID:gO+6Co6Vd,おいおい 更新日は10・20・30日だろぉ～  今日は28日だろぉ？数字読めねぇんかぁ？,2019/02/28 13:07:51
21,ID:nOkw7VjH0,ここまで更新こないと成れ果てごっこも飽きて冷めてくるわ  このスレでこんなこと言うと絶対叩かれるだろうけどつくしあきひとは漫画家として落第だろ,2019/02/28 13:09:57
22,ID:0a5bGPKtd,だと思うならここ以外でやりなよ,2019/02/28 13:12:26
23,ID:HUgqcLMwd,Twitterでツイートないと心配してしまうのはあるな  ゆっくりでも良いけど更新日予告してくれ,2019/02/28 13:16:09
24,ID:xeG37Jpcd,いえ･･･ぷ･･･,2019/02/28 13:19:20
25,ID:gO+6Co6Vd,代わりがいないもの、受け取る側は待つしかないじゃん。  他にメイドインアビス描ける人間がいるなら遅いとか早いとか言えるけど。,2019/02/28 13:38:46
26,ID:gVu/smvt0,漫画は月刊や週刊のフォーマットがほとんどだからそのペースを期待しがちよね  映画や小説だと思えば次の2000年までは待てるさ,2019/02/28 13:45:49
27,ID:gO+6Co6Vd,作品を一時的に楽しむだけの消耗品と考えるかどうかだな。  もちろん消耗品程度の認識の作品があるのも確かだし、というか大半の漫画はそんな認識だろ。  自分にとってメイドインアビスがそうじゃないだけ、だからいくらでも待てる、解るかなぁ～,2019/02/28 13:54:43
28,ID:fAKtGLQ9p,随分ぬるぬるしたスレですね,2019/02/28 17:12:32
29,ID:Sqt9H+coa,マルルクから体積以上のマルルクを出したい,2019/02/28 17:22:33
30,ID:7aIweE1Mp,そす,2019/02/28 18:12:59
31,ID:EkvfwnEM0,おつそす,2019/02/28 19:34:26
32,ID:q5f75PiY0,まあああ,2019/02/28 20:22:33
33,ID:PsmOEuGa0,くぅ～疲れましたwこれにて完結です！   ボンドルド｢皆さん、見てくれてありがとうございます。ちょっと腹黒なところが見えてしまいましたが、気にしないで下さい｣   リコ｢いやーありがと！私のかわいさは二十分に伝わったかな？｣   ナナチ｢見てくれたのは嬉しいけどちょっと恥ずかしいんなぁ...｣   レグ｢見てくれてありがとな！正直、作中で言った僕の気持ちは本当だ！｣   まああさん｢...まああ｣   では、   ボンドルド、リコ、ナナチ、レグ、つくし卿｢皆さんありがとうございました！｣   終   ボンドルド、リコ、ナナチ、レグ｢ってなんでつくし卿が！？改めまして、ありがとうございました！｣   本当の本当の終わり,2019/02/28 20:25:19
34,ID:55l7KpOQ0,ボンドルド卿悪く言うけどさ  本気で戦闘トレーニングしてくれて  白笛まで作ってくれた恩人なんだよ   先導卿はボンドルド卿ほど優しくないよ,2019/02/28 20:58:33
35,ID:LEBAinxya,いずれにせよシャアンな感じだと思う,2019/02/28 20:59:12
36,ID:cuoyUxeR0,>>34  〉「私のかわいさは二十分に伝わったかな」  これも元ネタ通りなのか？  二十分限定のリコさんのかわいさ,2019/02/28 21:20:45
37,ID:cuoyUxeR0,ていうかあれ？  更新の波に乗り遅れた～と言う予定だったんだけどスレ進んでないな  進んでないな･･･,2019/02/28 21:22:56
38,ID:tIuyjpzP0,ちんちんどうしたの？,2019/02/28 21:24:51
39,ID:McLW3s2F0,更新…,2019/02/28 21:32:11
40,ID:IX7ngPVz0,>>39  ちんちんって何？,2019/02/28 21:37:12
41,ID:pTromVih0,あんまりコウシンガタリがいないな？  そうか…皆んな絶界行しちまったんだなぁ…,2019/02/28 21:38:55
42,ID:XGkDqr170,28日に更新あるわけ無いだろぉー？  明後日まで待ってな,2019/02/28 21:44:55
43,ID:kJKPulSgr,２月３０日にたどり着けない人はもう今後更新は見えないままだよ,2019/02/28 21:46:58
44,ID:4Ff9sxfDa,そんなんじゃ更新は止められねぇんだ！,2019/02/28 22:12:36
45,ID:CeMUgc9Wa,2000日に一回の更新ならまだ耐えられ…,2019/02/28 22:20:08
