スレ数,ID,コメント,投稿時刻
0,ID:O5dQGDicd,!extend:checked:vvvvvv:  ここはメイドインアビスについて語るスレです。  Webコミックガンマにて毎月10・20・30日のいずれかに更新。  コミックス1～7巻発売中。更新前日はネタバレが発生するので見たくない人は退避推奨。  単行本未収録の一部は無料で読めます。  http://mangalifewin.takeshobo.co.jp/rensai/madeinabyss/  ◆あらすじ  隅々まで探索されつくした世界に、唯一残された秘境の大穴『アビス』。  どこまで続くとも知れない深く巨大なその縦穴には、奇妙奇怪な生物たちが生息し、今の人類では作りえない貴重な遺物が眠っている。  アビスの縁に築かれた街『オース』に暮らす孤児のリコは、いつか母のような偉大な探窟家になり、アビスの謎を解き明かすことを夢見ていた。  そんなある日、リコはアビスを探窟中に、少年の姿をしたロボットを拾い…？  ◆作者Twitter　http://twitter.com/tukushia  ◆作者HP http://doorbeetle.sa●kura.ne.jp/  （２ｃｈではさくらインターネットへのリンクはNGです、●を削除してアクセスしてください）  ◆公式アニメサイト  http://miabyss.com  ◆公式アンソロジー  http://mangalifewin.takeshobo.co.jp/rensai/abyss_anthology/  次スレは>>950が建ててください。建てられない場合、安価指定お願いします。  ・次スレ作成時>>1の文頭1～2行目に  「!extend:checked:vvvvvv:」をコピペして貼り付け、3行目から通常テンプレを書き込んで下さい。  ◆前スレ  【つくしあきひと】メイドインアビス 深界157層  https://fate.5ch.net/test/read.cgi/comic/1544754069/  ※オイコラ規制回避(カッコ内の文を毎回変更することで回避してくだシャアン)  【つくしあきひと】メイドインアビス 深界158層  https://fate.5ch.net/test/read.cgi/comic/1545805506/  【つくしあきひと】メイドインアビス 深界159層  https://fate.5ch.net/test/read.cgi/comic/1546229367/  VIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configured  https://twitter.com/5chan_nel (5ch newer account) VIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configured  https://twitter.com/5chan_nel (5ch newer account),2019/01/04 17:51:33
1,ID:n3cn1mw+d,ナナチ愛してるよおおおおお,2019/01/04 18:34:15
2,ID:1QEiq2xz0,>>1  貴方には沢山の乙が言いたい,2019/01/04 18:35:28
3,ID:BdoQbldN0,>>1オーツの町,2019/01/04 18:39:48
4,ID:rUk1kuzS0,旅立ちの夜明け,2019/01/04 18:39:51
5,ID:pRd5liYpp,>>1乙   新年早々、ゾアホリック欲しい…。,2019/01/04 18:42:51
6,ID:BdoQbldN0,>>1は本当に素晴らしいですね,2019/01/04 18:47:10
7,ID:hpdhm9h/d,んなぁ！,2019/01/04 18:48:08
8,ID:IaEsHKpX0,オイラがこれからテンプレ投下するからね  重複防止のため…,2019/01/04 18:57:04
9,ID:IaEsHKpX0,●アビスの上昇負荷  1層『アビスの淵』/0～1350m/→軽い目眩と吐き気  2層『誘いの森』/1350～2600m/→重い吐き気、頭痛、末端の痺れ  3層『大断層』/2600～7000m/→上記に加え、平衡感覚に異常、幻覚や幻聴  4層『巨人の盃』/7000～12000m/→全身に激痛、穴という穴から流血  5層『なきがらの海』/12000～13000m/→全感覚の喪失、それに伴う意識混濁、自傷行為  6層『還らずの都』/13000～15500m/→人間性の喪失、もしくは死に至る  7層『最果ての渦』/15500～???m/→確実な死  深界極点『奈落の底』/20000m以深/   奈落文字解読表vol.5  http://i.imgur.com/ErwG1rc.jpg   奈落文字の更新版  http://i.imgur.com/COgjiUz.jpg  ぬ,2019/01/04 18:57:22
