スレ数,ID,コメント,投稿時刻
0,ID:98mDJon10,!extend:checked:vvvvvv:  ここはメイドインアビスについて語るスレです。  Webコミックガンマにて毎月10・20・30日のいずれかに更新。  コミックス1～7巻発売中。更新前日はネタバレが発生するので見たくない人は退避推奨。  単行本未収録の一部は無料で読めます。  http://mangalifewin.takeshobo.co.jp/rensai/madeinabyss/  ◆あらすじ  隅々まで探索されつくした世界に、唯一残された秘境の大穴『アビス』。  どこまで続くとも知れない深く巨大なその縦穴には、奇妙奇怪な生物たちが生息し、今の人類では作りえない貴重な遺物が眠っている。  アビスの縁に築かれた街『オース』に暮らす孤児のリコは、いつか母のような偉大な探窟家になり、アビスの謎を解き明かすことを夢見ていた。  そんなある日、リコはアビスを探窟中に、少年の姿をしたロボットを拾い…？  ◆作者Twitter　http://twitter.com/tukushia  ◆作者HP http://doorbeetle.sa●kura.ne.jp/  （２ｃｈではさくらインターネットへのリンクはNGです、●を削除してアクセスしてください）  ◆公式アニメサイト  http://miabyss.com  ◆公式アンソロジー  http://mangalifewin.takeshobo.co.jp/rensai/abyss_anthology/  次スレは>>950が建ててください。建てられない場合、安価指定お願いします。  ・次スレ作成時>>1の文頭1～2行目に  「!extend:checked:vvvvvv:」をコピペして貼り付け、3行目から通常テンプレを書き込んで下さい。  ◆前スレ  【つくしあきひと】メイドインアビス 深界156層  https://fate.5ch.net/test/read.cgi/comic/1543879008/  ※オイコラ規制回避(カッコ内の文を毎回変更することで回避してくだまああ！) VIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configured  https://twitter.com/5chan_nel (5ch newer account) VIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configured  https://twitter.com/5chan_nel (5ch newer account),2018/12/14 11:21:09
1,ID:Czw1mvrK6,>>1乙のにおい・・・  たくさんのレスを投稿したにおい･･･,2018/12/14 12:27:17
2,ID:mVEpJgog0,>>1おつ   保守ageんなぁ～,2018/12/14 12:28:48
3,ID:AZwoxKBD0,テンプラ支援   ●アビスの上昇負荷  1層『アビスの淵』/0～1350m/→軽い目眩と吐き気  2層『誘いの森』/1350～2600m/→重い吐き気、頭痛、末端の痺れ  3層『大断層』/2600～7000m/→上記に加え、平衡感覚に異常、幻覚や幻聴  4層『巨人の盃』/7000～12000m/→全身に激痛、穴という穴から流血  5層『なきがらの海』/12000～13000m/→全感覚の喪失、それに伴う意識混濁、自傷行為  6層『還らずの都』/13000～15500m/→人間性の喪失、もしくは死に至る  7層『最果ての渦』/15500～???m/→確実な死  深界極点『奈落の底』/20000m以深/   奈落文字解読表vol.5  http://i.imgur.com/ErwG1rc.jpg   奈落文字の更新版  http://i.imgur.com/COgjiUz.jpg,2018/12/14 12:32:10
4,ID:AZwoxKBD0,●質問や考察についての注意　  同一スレ内で同じ質問が頻発すると辛辣な回答が返ってくる事が多々あります。  お互い無用な衝突を避ける為に過去レスや原作をよく読み返して、自己解決に努めましょう。   ◆よくある質問  Q.ライザの白笛ってトーカ？  A.トーカと結婚した時点で今の物と同じ白笛を持っている事、トーカが死んだのは四層より上であり、条件を満たすのは困難と思われます。  Q.オーゼンの言うあの子って？  A.ライザがリコの育児係に指名したジルオと思われます。  Q.祈手って全員ゾアホ？  A.自ら黎明卿の理想に身を捧げた者が祈り手になるようです。  精神を植え付けられても、自我を切り替えて独立化する事も可能なようです。  Q.ゾアホリックは破壊されたの？  A.ニコ生情報によれば「プルシュカの願いを汲んだので、破壊していない」との事。  考察は諸説ある。  Q.トコシエソウ？  A.トコシエコウ←,2018/12/14 12:32:55
5,ID:AZwoxKBD0,◆悠遠語考察  ハディマエ:ああ、おっと、感嘆符も表している  インデブ:嘘のようだけど本当(6割)、感動(4割)  ハニいすく・ハニースク:寝床とヒトの食事 、おやど  ジャコぷふ:頼む(4割)、特別(3割)、刺激(3割)  イルぶる:村(5割)、揺りかご(4割)、母(1割)  コンぼす:了解  マェン:甘めの肯定(そうだよ、程度？)  ンガム:甘めの否定(違うよ、程度？)  イェンメェ:ありがとう(8割)  リェゾーチ:ごめんなさい  ミミウ:ちょっと失礼  ファモ:またね  ラホッス:してほしい、おねがい  サンサイカ:行きたい  ケフケフェリ？:どのくらいの価値？  ｼｭｶｴｲｷﾞｨﾂｺﾞｯｼｭｿｽ:私を買うと破産します  ｺﾌﾞﾁｬｯｷｭｳｼﾞﾝｼｰﾂﾌｧｯﾌ:君はロボとふわふわを知っているか？  ﾗﾎｯﾁｭｿｽｼﾞﾝｼｰﾂﾌｧｯﾌ:ロボおよびふわふわを求めています  んガンガ:いやその  までぃも:わかんない  めんメェ:おいで  ハグン:けむり  ハク:たからもの  ブルーそう:こんにちは  クグふぁもホンでいっそす:こどもはかわいいですね  ファッツェンぶれェ:いくぜ皆のもの  インデまぇン:もちろんだよ  ウィーゴリィイー:押さえつけて  サゾンファッツ:鉄線隊  メポポホン:居眠りさん  クベキャサス:焼いた材料(クベク)すする(ヤッサス),2018/12/14 12:34:00
6,ID:AZwoxKBD0,◆新規固有名詞 (暫定)  ドグープ:目の奥(血の家？)  ファプタ:姫  メディポー:楽器  メディポトゥート:ヒト結晶の楽器  ゾーム:呪い   ◆えろこさんテンプレ  7巻P156　ヴエロエルコの重なった文字解読  https://i.imgur.com/LhiesoQ.png  「踏みにじられた」「わたしの」「かわいそうな」「かわいい」   ◆劇場版テンプレ  劇場版総集編　【前編】旅立ちの夜明け  2019年1月4日（金）公開   劇場版総集編　【後編】 放浪する黄昏  2019年1月18日（金）公開   ◆履歴のグラフ化  https://i.imgur.com/595JZMz.png  https://i.imgur.com/VzwWw8y.png  https://i.imgur.com/MP3i2BZ.png   テンプレ以上,2018/12/14 12:34:40
7,ID:njTq2BOc0,>>1  乙んなぁ～,2018/12/14 12:44:30
8,ID:/xmC2Oybp,1乙があれば、乙身体で無茶もできる,2018/12/14 12:46:50
9,ID:wrBNu7tf0,まああ！！  https://i.imgur.com/xbJpZKe_d.jpg?maxwidth=640&shape=thumb&fidelity=medium.jpg,2018/12/14 12:56:31
