スレ数,ID,コメント,投稿時刻
10,kJjohISwa.net,大手出版社が電子書籍ぼりすぎたのが悪い,2019/03/13 2:24:19
11,kJjohISwa.net,>>4  なくすのは無理だから1巻～3巻まではOKにしたら販売促進にもなるんじゃね  サイト運営者が全部やりますで終わりだけど。   出版業者は積極的に逆手に取って対策とらないと作者らが潰されるよ,2019/03/13 2:26:03
12,0EeFh/tMa.net,もっと社会問題として取り上げられて世論が動けば警察も重い腰を上げると思うが,2019/03/13 2:31:51
13,0EeFh/tMa.net,☆解決策☆   ・全国の市町村に漫画専用の図書館を作り、そこでしか漫画を読めないようにする。   ・漫画雑誌類も決まった日にその図書館にのみ届けられるので、そこで読むしかなくなる。   ・勿論、持ち出しは禁止。,2019/03/13 2:32:58
14,CHoNXry40.net,いち乙←これは裸釣りされたマルルクだから云々   167層の呪い、誤爆のままスレが進む…なんとかしたいですよね？,2019/03/13 2:36:05
15,O5pJvuPAa.net,プロバイダ側で違法サイトへの接続をブロックできないのか  児童ポルノサイトとかブロックしているケースがあるはずだぞ,2019/03/13 2:37:34
16,O5pJvuPAa.net,>>1  児童ポルノは児童ポルノ法があるからな  違法サイトはネットで公開されてる画像を集めて公表してるだけとかいうクソみたいな言い逃れで法を免れてるからどうしようもない,2019/03/13 2:38:37
17,ZewyGImia.net,>>16  自動巡回で画像保存してるやつらがいて  そいつら対策でロボットかどうかの認証が入るようになった。ついでにマイニングもしてるらしいが   このへんを逆手に取ったら潰せそうだな,2019/03/13 2:42:34
18,ZewyGImia.net,違法サイトは文化を潰すゴミだと思うしアップロード者は粛々と逮捕して行って欲しいけど  閲覧者を悪者扱いしたりさも違法行為に加担しているかのように晒し上げるのは間違い  現行法に違反してないんだから閲覧者には何も問題はない  それが法治国家ってもんだ,2019/03/13 2:44:14
19,E10EbQnGr.net,ここまで来ると荒らし,2019/03/13 2:44:17
20,ZewyGImia.net,今はまだふざけて擁護してる奴多いけど違法サイトがこのまま何年も残り続けるとしたらほんと恐ろしいわ  もっと深刻に考えたほうがいい,2019/03/13 2:45:21
21,ZewyGImia.net,>>18  消す潰す自体はそんなに難しくはない  しかし、潰すことは出来ても、根本解決にはならない、違法サイトが消えるだけで何度でも蘇る,2019/03/13 2:45:55
22,r3iW2KvB0.net,んでさ、なっとう。  個人的にはなっとうよりめかぶ駄目。  アビスに海藻類ってあったっけ？  いい匂いのするくさくらいしかないような？,2019/03/13 2:47:57
23,JowBWwrW0.net,ヴエコのワカメ,2019/03/13 3:50:50
24,JqYREEf5d.net,子持ちししゃも(オス) が売られてることを知った。  ﾄﾞｼｶﾞﾀｲ,2019/03/13 4:09:08
25,meUzGERV0.net,んなおつ,2019/03/13 7:02:35
26,ypAm3aUD0.net,生っぽい配信やってる,2019/03/13 7:59:36
27,tEmm8uTO0.net,1巻の表紙のリコの胸がちょっと膨らんでるのに今気づいた,2019/03/13 8:40:50
28,/uN0lRkAH.net,>>11  それと、中小の売り逃げね  ある程度稼ぐとサイトつぶして、別の電子書籍サイト開きやがる  当然、互換はなし・・・  ４，５年前利用してたとこ  今、１つも存在してない,2019/03/13 8:49:43
29,klJJ5oyoa.net,もし現代にアビスがあったら現代の科学力で安全に探索できるのかな。,2019/03/13 9:13:16
30,tEmm8uTO0.net,アビスはスマートフォンとともに,2019/03/13 9:16:29
31,tIzlGdzJ0.net,力場を完璧に防御する外殻みたいのを開発しないとなぁ。  力場ってことは、電磁場とか重力場と同じような性質だから、  電磁場を遮断する環境は人類は開発できても、  重力場を遮断する環境を開発できたことは無い。  それこそ遺物でもないとあかんかなぁ。,2019/03/13 9:19:12
32,fB2kOBNR0.net,>>29  見る目なさ過ぎ,2019/03/13 9:22:48
33,Oy76RxOod.net,最初から宇宙服みたいなの着て潜ったら呪い食らわないんじゃね,2019/03/13 9:27:34
34,p7GlRlRFr.net,遺物ってロストテクノロジーじゃないっぽいし基本的にアビスと依存関係にあるからアビス環境を相殺するような性質の遺物って結構異質じゃないか？,2019/03/13 10:03:48
35,Lcn3Mt4qp.net,人間としての感覚を失っていればいいのなら  仮死状態にした上で、原生動物の攻撃を避けられる  装甲ゴンドラで上下すればいけるか？   というのはボンドルドが試してるか,2019/03/13 10:09:44
36,H4znJCq5d.net,>>34  その宇宙服みたいなのの材質が力場と干渉を起こすか或いは防ぐ物質なら可能だろうな。  少なくとも並みの物質では無理なことは分かっている,2019/03/13 10:10:29
37,TQLPnVVva.net,力場の性質が分からないからね。  放射線のような物なら遮断出来る装備が要るし、現実改変的な物ならスクラントン現実錨が必要よ。,2019/03/13 10:24:15
38,Vl2qrknI0.net,>>24  そうか…妙齢の女子はエロ子さんしかおらんから  ワカメ描写要因としては貴重だな。あとはツルペタ  しかおらんしなぁ,2019/03/13 10:49:36
39,G471HCa8d.net,プルシュカとミーティは発育よかったし生えてた可能性もなくはない,2019/03/13 10:54:41
40,gTacbPej0.net,アビスの外で真空にした空間を作ってそこに人間入れたら負荷かからないんじゃない？,2019/03/13 11:08:18
41,Vl2qrknI0.net,最近の発毛事情は何歳くらいなんだろか。  (お巡りさん、私じゃありません！本当です),2019/03/13 11:27:14
42,/uN0lRkAH.net,>>33  当時、読みたかったのが古い漫画だったんで、そこにしかなかったんだよ  しばらくしてアクセスしたら、サイト名変わってやんの  当然、互換はなし,2019/03/13 11:50:37
43,cHKeXmrca.net,新たな力場対策を考えるとなるとボ卿以上の発想力が必要になりそう  あの人(？)人体実験以外も粗方試してそうだし…,2019/03/13 11:54:47
44,MYjYmsBOa.net,>>40  生えてない  https://i.imgur.com/KTOkbOr.jpg,2019/03/13 12:03:08
45,AhYR45xM0.net,>>23  藻塩ってのがあるから多分ある,2019/03/13 12:08:12
46,SdbREbYPd.net,次の映画の公開時期はまだ未定か、、、,2019/03/13 12:13:17
47,A99bgyS7d.net,毛が生えて無ければ中田氏してもOKってことなのだろうか,2019/03/13 12:26:59
48,Vl2qrknI0.net,最終回はお腹の大きなリコとリコに似た幼子  そしてお腹の大きなナナチとフワフワの幼子  を伴ったレグが凱旋して、ナットが崩折れる,2019/03/13 12:29:56
49,NiDvk9wDa.net,力場が放射線や重力みたいな性質なら誰かに押し付けるとか無理やろな  つくし卿もまだそこら辺の設定はかためてないかも,2019/03/13 12:31:27
50,LIvBMzyV0.net,ナットにはマルルクがいるからまだ大丈夫,2019/03/13 13:30:52
51,yUuUVyVyp.net,それは…お師さまを超えろと？,2019/03/13 13:36:58
52,NQL37JTYM.net,お祝いナナチ  https://pbs.twimg.com/media/D1WJMSZUcAAvzr7.jpg,2019/03/13 13:42:40
53,eEHkjKXFa.net,ウルヴァリンとか、無限再生能力者ならアビスの安全攻略行けるか？,2019/03/13 14:41:01
54,B5Ifx/wZ0.net,ハディ  更新まだ？？？？？？？？？？？？？？？？？？？？,2019/03/13 14:59:07
55,FMmOSiBSa.net,力場に関してこれ以上設定固める必要ある？  いや知りたいかもしれないけど、下手に設定固めると話を広げる上で邪魔にしかならなくない？,2019/03/13 15:01:05
56,tNM29E9Fd.net,>>56  > 力場に関してこれ以上設定固める必要ある？  > いや知りたいかもしれないけど、下手に設定固めると話を広げる上で邪魔にしかならなくない？  読む側はもちろん知りたいに決まっている  しかし、話を作る側からしても展開を作る上でもやっとした設定では作りづらくない？  後々の物語で矛盾や齟齬が起きる恐れもあるし,2019/03/13 15:08:52
57,r3iW2KvB0.net,つくし卿はプロットででっかい設定の鍋を用意してそこに具材放り込むかんじだから細やかな設定はあとから肉付けかもよ？  ただアニメ化で監督たちから「アレどうなんですか？？！コレはどうなってますか？！ココはどうなるんですか！？」って攻め込まれたらしいから、ある程度決まってるかもね,2019/03/13 15:14:51
58,4XuzlfgNa.net,>>54  ヒーリングファクターでも「人間性の喪失」とか「確実な死」とかは防げないんじゃなかろうか,2019/03/13 15:18:47
59,UwBRQ4Xga.net,ウルヴィーも人間性失ってただの野獣になりそう,2019/03/13 15:20:05
60,Vl2qrknI0.net,そこはデップの方が強かろう。絶対死ねない  体にされてるし、第四の壁超えてつくし卿に  直接注文付けてくるだろうし。,2019/03/13 15:36:15
61,p6hFaRIF0.net,ってなんで俺くんが！？,2019/03/13 16:16:10
62,GblO6pQDa.net,死ななくても成れ果てになったら人間性失うから六層で詰むぞ,2019/03/13 16:18:23
63,8Z7h+QG80.net,確実な死 vs 絶対死なない超人,2019/03/13 16:32:20
64,83BF4Nh+r.net,7層で確実な死ってもう奈落の底だと何かが生まれそう,2019/03/13 17:30:35
65,vZ7wgIgzp.net,確実に死ぬかを確かめるのがまずハードル高いからな  そいつのその後を知る者はいない＝死ってことかもしれないし,2019/03/13 17:38:17
66,ZNCMoayed.net,>>64  なんかAVのタイトルみたいで草,2019/03/13 17:43:26
67,PASClU6pM.net,別漫画だけど亜人の設定なら成れ果て後が問題だけど攻略行けるかな,2019/03/13 17:45:05
68,B5Ifx/wZ0.net,確実な死って要は人としての体が保てなくて崩壊するから死ぬってことでしょ  なら再生能力とか流動体とかなら平気なんでないの,2019/03/13 17:48:01
69,eEHkjKXFa.net,配信開始   みんな！  つくし先生に、応援のエールを送ろう！,2019/03/13 18:01:49
70,Oy76RxOod.net,俺七層で上昇したけど確かに死んだよ,2019/03/13 18:05:06
71,eEHkjKXFa.net,DIO（初期） vs アビス  ファイっ！！！,2019/03/13 18:09:31
72,z1fvXthr0.net,>>50  力場は陽光を伝達したり、原生動物の生存に適した環境を維持している  上昇負荷があるのに下降負荷が無いことから、「離れると呪いがかかる」と言う有害とは逆の概念である事が分かる  重力と言うよりは酸素、気圧に近い  同人版には上昇負荷はなく、時間のズレが今の数百倍大きかった  まあ一言で言って「呪い」だね,2019/03/13 18:12:46
73,c6/RnLYud.net,>>72  「何ィィこのディオがァァァ」とか言いながらバキバキになるの容易に想像できる,2019/03/13 18:25:28
74,LIvBMzyV0.net,力場触れただけで死にそう,2019/03/13 18:32:42
75,hwE7lR5ca.net,ロボなら呪いは受けない  つまりキーボに行かせればよいのじゃ,2019/03/13 18:33:49
76,cHKeXmrca.net,絶対に死なない超人vs確実に死ぬ上昇負荷  検証始まる直前から結果出るまでに3回はCM入りそう,2019/03/13 18:48:52
77,vTBjsn7G0.net,>>50  ナナチ視点での膜としての性質といい、一方通行で片側からは素通りできる点といい、  生物の体内に似た性質がアビスにはあるように思える  膜＝細胞膜、一方通行＝心臓その他の弁、変質＝消化、環境維持＝恒常性、みたいに   体内とも胎内とも解釈できる感じだけど,2019/03/13 18:50:17
78,8Z7h+QG80.net,ネタ切れするまでは面白かったなほこたて,2019/03/13 19:15:35
79,JUt7mlm2a.net,なるほど子宮だな！,2019/03/13 19:17:30
80,U7HEDfnmd.net,激しく穴を出入りする黒いアレから輩出される白いアレが、本能のままにこぞって穴の最奥を目指すのが現在のアビスの営みだからな,2019/03/13 19:26:06
81,WeefTLuJ0.net,リコは強化系  レグは放出系  ナナチは変化系,2019/03/13 19:43:33
82,Vbl/9N4k0.net,定期的なお祭りは月のものね,2019/03/13 20:15:02
83,ivAfg+6wx.net,メイドインアビス知らない人にマルルクの画像見せて可愛いメイドがでてくる冒険物の漫画だよって勧めといた,2019/03/13 20:44:03
84,eEHkjKXFa.net,>>84  ギルティ,2019/03/13 20:49:57
85,nwdIz4LYa.net,更新まで1週間か,2019/03/13 21:45:13
86,B74A6P830.net,なんか次回更新予定日が表示されるようになってるやん  とにかく次回更新がほしいけど、予定日が表示されるのは精神の安定にたすかる  なんかすでに他の人が過去にいってそうな話題だが言ってみる,2019/03/13 21:56:01
87,z1fvXthr0.net,>>84  メイドインア○ス,2019/03/13 22:06:55
88,B74A6P830.net,なんかこう　願いかなえてやるけどｗゆがんだ方向にかなえてやるぜｗ　みたいなのムカつく  それ願いかなえてないだろというか  イルミューイちゃんどうなるのかねぇ,2019/03/13 22:10:46
89,rnOjwud6a.net,龍騎といいfateといいまどマギといい願いを叶えるなんて物はロクなことが無いからな,2019/03/13 22:12:27
90,qcFkXWns0.net,そも願いを聞いたのが(多分)人間じゃないから人間味のある解釈をしてくれないんだろう  AIが戦争で死ぬ人を無くすには戦争以外で人類を滅ぼすのがベストとか即答するみたいな感じで,2019/03/13 22:31:40
91,9VIh33f70.net,配信みてショックだった。つくし卿ってなれ果てだったんだ  会社員時代のゲーム上市用負荷でなれ果てたのかね…,2019/03/13 22:32:30
92,1+otsFgo0.net,願いを叶えられる超常の存在がヒト種と同じ精神構造してるわけないからな  ギャルのパンティーおーくれっ！！,2019/03/13 22:32:49
93,2pRF2S7/0.net,>>92  ここに集っているのも単行本を2巻以上買ってる  ものもすべからく成れ果てですよ。  ほら、貴方だって鏡をみてご覧なさいな…,2019/03/13 22:42:14
94,YyzpSZeS0.net,>>72  力場から日光が伝わってきて灰になっておしまいやぞ,2019/03/13 22:48:07
95,B74A6P830.net,>>9１  その願いを聞くのはアビスなのだろうね,2019/03/13 22:59:41
96,McW4QuuWa.net,本人にとってはちゃんと願いが叶っていても、周りから見ると不幸そうに見えることもあるんじゃない？  脈打つ便器とか,2019/03/13 23:19:52
97,LIvBMzyV0.net,あなたは狂喜して叫んだ。「肉便器！！」  欲しかったかなりたかったかはどうでもいいのだ,2019/03/13 23:30:11
98,xpehx9Rl0.net,更新まああああああああぁあ！！,2019/03/13 23:57:29
99,269NXdr10.net,そろそろ来るか,2019/03/14 1:08:51
100,lcSYgw550.net,なんかガンマのサイト新しくなったのね  最後の作品シェアページにボ卿がいて笑った,2019/03/14 1:25:59
101,QOzBgOR90.net,#1だけになったけど、自分だけ？,2019/03/14 1:35:00
102,lcSYgw550.net,>>102  それはまんがライフWINのほうじゃないかな  自分も最初戸惑ったけど、リンクたどっていったらガンマのサイトに最新話があったよ   http://webcomicgamma.takeshobo.co.jp/manga/madeinabyss/,2019/03/14 1:38:29
103,9An+kze90.net,こんなページあったのか  ずっとウィンの方で見てたわ,2019/03/14 2:04:25
104,MhHUx6yLr.net,>>103  有難う  最新話チエックに行ったら1話しかなくてもう読めないのかと思った,2019/03/14 2:26:25
105,tqFTY/GE0.net,ボ卿「感想…素晴らしい…！（絶命）」,2019/03/14 6:16:59
106,wUG+OnDjM.net,サイト新しくなったと言う事は  PCで見られないブラウザあったの改善された？,2019/03/14 8:03:50
107,Rqu320nE0.net,うん  フラッシュもやめたみたいだから今後も安心だね  かたくなにhttps化しないせいか検索で出しづらいのは困ったもんだね,2019/03/14 9:01:03
108,ygQeyNNpM.net,あと1週間か・・・,2019/03/14 10:08:56
109,UzHfVSBHM.net,>>109  実はつくし卿の部屋はそれほど時間が経過していない,2019/03/14 11:51:57
110,EhZzuMlp0Pi.net,アニメ提供画面でも思ってたけどなんで公式がクソコラ作ってウケを狙おうとするのかね  ギャグ漫画ならまだ理解できるがただひたすらに余韻ぶち壊してるだけにしか感じないんだが,2019/03/14 12:15:08
111,eA5FtISj0Pi.net,ハボさんが猛烈な勢いで降りてきてレグの奈落の至宝拝むのはすき,2019/03/14 12:19:16
112,xqvxO3A+dPi.net,>>111  人の感性は十人十色だぞ？  お前はそう感じただけでアニメスタッフはそう感じなかっただけのことだろう,2019/03/14 12:27:25
113,EhZzuMlp0Pi.net,はいはい人それぞれ,2019/03/14 12:31:13
114,k5UyN5PnaPi.net,配信開始   初っぱなから荒ぶっている。,2019/03/14 12:31:26
115,+3OEQZRk0Pi.net,提供でウケ狙いとか別に珍しい話じゃないんだよなぁ,2019/03/14 12:36:25
116,0y72Det7rPi.net,配信って後でも見れるのかな？  見たいけど職場（昼休み）なんだよね。,2019/03/14 12:42:45
117,pPdY1IGmaPi.net,ナナチナデナデとタマちゃんドッキリ好き,2019/03/14 12:56:44
118,26audVD90Pi.net,先生お体大丈夫かな,2019/03/14 13:14:40
119,8jWov8UnxPi.net,配信はオール生放送で、媒体には残らない。  けど、今日はかなり咳とか体調が・・・・,2019/03/14 13:25:57
120,+3OEQZRk0Pi.net,季節の変わり目は体調崩しやすいからなー  仕事も大事だけど体調管理を第一にしてほしいな,2019/03/14 13:27:26
121,lBoaRvsgHPi.net,>>120  花粉症では？  昨日から花粉ひどいよ,2019/03/14 14:40:41
122,wryxGTzM0Pi.net,花粉症ではないって言うてるよ,2019/03/14 15:07:05
123,Y6x3jaT36Pi.net,メイドインアビス８巻が５月３０日発売予定   …ということは、あと２ヶ月後に#51が読める？,2019/03/14 15:33:08
124,SRZjhiHaMPi.net,https://amazon.jp/dp/4801966276  マジかよ,2019/03/14 15:50:18
125,eA5FtISj0Pi.net,あと2ヶ月で更新してもらえるんですかやったー！,2019/03/14 15:51:43
126,yGfAlOkTdPi.net,電報船が届いたか,2019/03/14 15:54:18
127,/YU5mHzKpPi.net,つぱっ,2019/03/14 15:59:41
128,UzHfVSBHMPi.net,棺担ぎのクロは8巻でキャラも話も重い荷物降ろしたようにサッパリとしてるのに、  こっちの8巻は重力の井戸に睾丸を引かれた様に重くなりそうだな……。,2019/03/14 16:23:46
129,7XlcyzMj0Pi.net,サイトリニューアルでたまたまアンソロ読み返したけど、飲み勝負のあとオーゼンがわざわざ眠ったふりをした理由はなんなんだ  もはや酔ったジルオに襲われるのを待ってたとしか思えん,2019/03/14 16:52:28
130,pZPhBVqm0Pi.net,サイトリニューアルしてたのか  なんか探しにくくなったなぁ…,2019/03/14 17:11:04
131,wUG+OnDjMPi.net,>>108  フラッシュ止めたのありがたいわ  https化も早くしてほしいわ,2019/03/14 17:43:48
132,wryxGTzM0Pi.net,なんで俺はオッサンが定期的に咳をする放送を見ているんだろう…,2019/03/14 17:44:33
133,ttvwmRAw0Pi.net,メイドインナナチのためですよ,2019/03/14 18:36:36
134,wdCUBtCS0Pi.net,ナナチの中の人の放送は祝福されますよ,2019/03/14 18:52:38
