スレ数,ID,コメント,投稿時刻
0,ID:tTK66OWo0,ここはメイドインアビスについて語るスレです。  Webコミックガンマにて毎月10・20・30日のいずれかに更新。コミックス1～7巻発売中。  更新前日はネタバレが発生するので見たくない人は退避推奨。  単行本未収録の一部は無料で読めます。  http://mangalifewin.takeshobo.co.jp/rensai/madeinabyss/  ◆あらすじ  隅々まで探索されつくした世界に、唯一残された秘境の大穴『アビス』。  どこまで続くとも知れない深く巨大なその縦穴には、奇妙奇怪な生物たちが生息し、今の人類では作りえない貴重な遺物が眠っている。  「アビス」の不可思議に満ちた姿は人々を魅了し、冒険へと駆り立てた。  そうして幾度も大穴に挑戦する冒険者たちは、次第に『探窟家』と呼ばれるようになっていった。  アビスの縁に築かれた街『オース』に暮らす孤児のリコは、いつか母のような偉大な探窟家になり、アビスの謎を解き明かすことを夢見ていた。  そんなある日、リコはアビスを探窟中に、少年の姿をしたロボットを拾い…？  ◆作者Twitter  http://twitter.com/tukushia  ◆作者HP 「風のサナギ」  http://doorbeetle.sa●kura.ne.jp/  （２ｃｈではさくらインターネットへのリンクはNGです、●を削除してアクセスしてください）  ◆公式アニメサイト  http://miabyss.com  ◆公式アンソロジー  http://mangalifewin.takeshobo.co.jp/rensai/abyss_anthology/  次スレは>>950が建ててください。建てられない場合、安価指定お願いします。  ・次スレ作成時>>1の文頭1～2行目に  「!extend:checked:vvvvvv:」をコピペして貼り付け、3行目から通常テンプレを書き込んで下さい。  ◆前スレ  【つくしあきひと】メイドインアビス 深界151層  https://fate.2ch.net/test/read.cgi/comic/1539870113/  ※オイコラ規制回避(カッコ内の文を毎回変更することで回避してください) VIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configuredVIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configured  https://twitter.com/5chan_nel (5ch newer account)VIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configured  https://twitter.com/5chan_nel (5ch newer account)  https://twitter.com/5chan_nel (5ch newer account),2018/10/29 21:56:28
1,ID:m5gXKT9q0,>>1  貴方には沢山の乙を言いたい,2018/10/29 22:06:30
2,ID:ZxsFIksJ0,いちもつ,2018/10/29 22:19:39
3,ID:8LbQq/Qx0,レグのおちんちん,2018/10/29 22:40:25
4,ID:+t9FL9hh0,どうすんの？立て直し？,2018/10/29 22:58:55
5,ID:8n6C7Cfk0,保守しなければ落ちる,2018/10/29 23:01:53
6,ID:CvSo61Tv0,アニメ放映中でもないしワッチョイなくても問題ない,2018/10/29 23:03:50
7,ID:ZxsFIksJ0,播種,2018/10/29 23:28:45
8,ID:m5gXKT9q0,映画が上映されたらここも人が増えるから、その時にワッチョイもIPもつければ良いと思う,2018/10/29 23:36:17
9,ID:CvSo61Tv0,保守,2018/10/29 23:37:54
10,ID:vvL5UMR70,IP無いから書き込めるから俺は嬉しいぞ,2018/10/29 23:41:41
11,ID:MIE3wpEX0,レグが1番かわいい,2018/10/29 23:42:17
12,ID:qIMpCpZl0,エロエロエロエロエロ子さん,2018/10/29 23:45:22
13,ID:Er8QxFQW0,んなぁ！ここが新スレか！  https://i.imgur.com/qOTgC2j.jpg,2018/10/29 23:48:26
14,ID:n8DsHvBs0,更新がないそす？もう１日待つそす,2018/10/30 0:25:19
15,ID:g787DP4S0,ナナチもう信だろう,2018/10/30 0:51:35
16,ID:PvLoF6Cr0,>>1 乙んなぁ～,2018/10/30 0:52:59
17,ID:iOZ6g8Ra0,更新日だやったー！,2018/10/30 1:00:05
18,ID:GOquCjop0,>>14  マフッ！,2018/10/30 3:36:53
19,ID:PvLoF6Cr0,落ちちゃうかんなぁ～？,2018/10/30 3:52:50
20,ID:BW4GXIJn0,今日更新ないのか…,2018/10/30 4:42:35
21,ID:aq/OgisM0,リコサァン…,2018/10/30 7:36:05
22,ID:knrq6TT30,今日は力場が濃いねェ  油断するんじゃないよ,2018/10/30 8:35:21
23,ID:RqVYNuMw0,「とても官能的なスレ立てだった」  「>>1乙できて、、」  「絶頂した」   ふへぇ,2018/10/30 8:54:23
24,ID:40ADGLHd0,更新マアァアア！   …だですか？,2018/10/30 9:25:22
25,ID:evHkkwRL0,ラジオインアビス新録嬉しいなあ,2018/10/30 9:40:54
26,ID:4ULZCEtc0,伊瀬さんもレギュラーか、にぎやかになるな,2018/10/30 9:48:46
27,ID:uFOs48D70,まだ保守いる？(疑問),2018/10/30 12:22:42
28,ID:5h7ZQg9C0,と言うか使うつもりがあるならテンプレぐらい貼れよと,2018/10/30 12:30:04
29,ID:wvcSnN3O0,最新話更新10日後　更新くるわけないだろ  最新話更新20日後　更新来るわけないけどチェックしとくか  最新話更新30日後　更新来る可能性も考えられるからチェックしとくか  最新話更新40日後　今回は早めの更新がありそうだからチェックしとくか  最新話更新50日後　更新の可能性が高いからチェックしとくか,2018/10/30 13:18:29
30,ID:UREJbJxT0,テンプレ不要,2018/10/30 13:42:59
31,ID:rJXY53gt0,テンプレも無し、ワッチョイさえ無し、こりゃ酷いな,2018/10/30 13:52:24
32,ID:UREJbJxT0,ワッチョイなんてそもそも不要だろ  議論の余地もない,2018/10/30 13:59:47
33,ID:6Vwhs61s0,既に荒らされてんな,2018/10/30 14:09:05
34,ID:foIRKHVP0,メイドインアビスだけじゃなく鬼畜島も全然更新されないな,2018/10/30 14:09:16
35,ID:+8QF2wVH0,これだからワッチョイIP要るんだよ  定期的にこうなるけど建てた人わざとだろ,2018/10/30 14:25:28
36,ID:R4UtJL0J0,今日には更新来てこのスレもすぐ消費されるからへーきへーき,2018/10/30 14:45:16
37,ID:ko9aADAl0,◆アビスの上昇負荷  1層『アビスの淵』/0～1350m/→軽い目眩と吐き気  2層『誘いの森』/1350～2600m/→重い吐き気、頭痛、末端の痺れ  3層『大断層』/2600～7000m/→上記に加え、平衡感覚に異常、幻覚や幻聴  4層『巨人の盃』/7000～12000m/→全身に激痛、穴という穴から流血  5層『なきがらの海』/12000～13000m/→全感覚の喪失、それに伴う意識混濁、自傷行為  6層『還らずの都』/13000～15500m/→人間性の喪失、もしくは死に至る  7層『最果ての渦』/15500～???m/→確実な死  深界極点『奈落の底』/20000m以深/   奈落文字解読表vol.5  http://i.imgur.com/ErwG1rc.jpg   奈落文字の更新版  http://i.imgur.com/COgjiUz.jpg,2018/10/30 15:09:35
38,ID:ko9aADAl0,◆質問や考察についての注意　  同一スレ内で同じ質問が頻発すると辛辣な回答が返ってくる事が多々あります。  お互い無用な衝突を避ける為に過去レスや原作をよく読み返して、自己解決に努めましょう。   ◆よくある質問  Q.ライザの白笛ってトーカ？  A.トーカと結婚した時点で今の物と同じ白笛を持っている事、トーカが死んだのは四層より上であり、条件を満たすのは困難と思われます。  Q.オーゼンの言うあの子って？  A.ライザがリコの育児係に指名したジルオと思われます。  Q.祈手って全員ゾアホ？  A.自ら黎明卿の理想に身を捧げた者が祈り手になるようです。  精神を植え付けられても、自我を切り替えて独立化する事も可能なようです。  Q.ゾアホリックは破壊されたの？  A.ニコ生情報によれば「プルシュカの願いを汲んだので、破壊していない」との事。  考察は諸説ある。  Q.トコシエソウ？  A.トコシエコウ,2018/10/30 15:10:05
