スレ数,ID,コメント,投稿時刻
0,ID:s5MNFvcz0,!extend:checked:vvvvvv:  ここはメイドインアビスについて語るスレです。  Webコミックガンマにて毎月10・20・30日のいずれかに更新。  コミックス1～7巻発売中。  単行本未収録の一部は無料で読めます。  http://mangalifewin.takeshobo.co.jp/rensai/madeinabyss/  ◆あらすじ  隅々まで探索されつくした世界に、唯一残された秘境の大穴『アビス』。  どこまで続くとも知れない深く巨大なその縦穴には、奇妙奇怪な生物たちが生息し、今の人類では作りえない貴重な遺物が眠っている。  アビスの縁に築かれた街『オース』に暮らす孤児のリコは、いつか母のような偉大な探窟家になり、アビスの謎を解き明かすことを夢見ていた。  そんなある日、リコはアビスを探窟中に、少年の姿をしたロボットを拾い…？  ◆作者Twitter　http://twitter.com/tukushia  ◆作者HP http://doorbeetle.sa●kura.ne.jp/  （２ｃｈではさくらインターネットへのリンクはNGです、●を削除してアクセスしてください）  ◆公式アニメサイト  http://miabyss.com  ◆公式アンソロジー  http://mangalifewin.takeshobo.co.jp/rensai/abyss_anthology/  次スレは>>950が建ててください。建てられない場合、安価指定お願いします。  ・次スレ作成時>>1の文頭1～2行目に  「!extend:checked:vvvvvv:」をコピペして貼り付け、3行目から通常テンプレを書き込んで下さい。  ◆前スレ  【つくしあきひと】メイドインアビス 深界162層  https://fate.5ch.net/test/read.cgi/comic/1548399769/  ※オイコラ規制回避(カッコ内の文を毎回変更することで回避してくださいね) VIPQ2_EXTDAT: checked:vvvvvv:1000:512:----: EXT was configured  https://twitter.com/5chan_nel (5ch newer account),2019/02/04 0:55:51
1,ID:s5MNFvcz0,●アビスの上昇負荷  1層『アビスの淵』/0～1350m/→軽い目眩と吐き気  2層『誘いの森』/1350～2600m/→重い吐き気、頭痛、末端の痺れ  3層『大断層』/2600～7000m/→上記に加え、平衡感覚に異常、幻覚や幻聴  4層『巨人の盃』/7000～12000m/→全身に激痛、穴という穴から流血  5層『なきがらの海』/12000～13000m/→全感覚の喪失、それに伴う意識混濁、自傷行為  6層『還らずの都』/13000～15500m/→人間性の喪失、もしくは死に至る  7層『最果ての渦』/15500～???m/→確実な死  深界極点『奈落の底』/20000m以深/   奈落文字解読表vol.5  http://i.imgur.com/ErwG1rc.jpg   奈落文字の更新版  http://i.imgur.com/COgjiUz.jpg,2019/02/04 0:56:55
2,ID:s5MNFvcz0,●質問や考察についての注意　  同一スレ内で同じ質問が頻発すると辛辣な回答が返ってくる事が多々あります。  お互い無用な衝突を避ける為に過去レスや原作をよく読み返して、自己解決に努めましょう！   ◆よくある質問  Q.ライザの白笛ってトーカ？  A.トーカと結婚した時点で今の物と同じ白笛を持っている事、トーカが死んだのは四層より上であり、条件を満たすのは困難と思われます。  Q.オーゼンの言うあの子って？  A.ライザがリコの育児係に指名したジルオと思われます。  Q.祈手って全員ゾアホ？  A.自ら黎明卿の理想に身を捧げた者が祈り手になるようです。  精神を植え付けられても、自我を切り替えて独立化する事も可能なようです。  Q.ゾアホリックは破壊されたの？  A.ニコ生情報によれば「プルシュカの願いを汲んだので、破壊していない」との事。  考察は諸説ある。  Q.トコシエソウ？  A.トコシエコウ←,2019/02/04 1:16:13
3,ID:IfHojCq10,◆悠遠語考察  ハディマエ:ああ、おっと、感嘆符も表している  インデブ:嘘のようだけど本当(6割)、感動(4割)  ハニいすく・ハニースク:寝床とヒトの食事 、おやど  ジャコぷふ:頼む(4割)、特別(3割)、刺激(3割)  イルぶる:村(5割)、揺りかご(4割)、母(1割)  コンぼす:了解  マェン:甘めの肯定(そうだよ、程度？)  ンガム:甘めの否定(違うよ、程度？)  イェンメェ:ありがとう(8割)  リェゾーチ:ごめんなさい  ミミウ:ちょっと失礼  ファモ:またね  ラホッス:してほしい、おねがい  サンサイカ:行きたい  ケフケフェリ？:どのくらいの価値？  ｼｭｶｴｲｷﾞｨﾂｺﾞｯｼｭｿｽ:私を買うと破産します  ｺﾌﾞﾁｬｯｷｭｳｼﾞﾝｼｰﾂﾌｧｯﾌ:君はロボとふわふわを知っているか？  ﾗﾎｯﾁｭｿｽｼﾞﾝｼｰﾂﾌｧｯﾌ:ロボおよびふわふわを求めています  んガンガ:いやその  までぃも:わかんない  めんメェ:おいで  ハグン:けむり  ハク:たからもの  ブルーそう:こんにちは  クグふぁもホンでいっそす:こどもはかわいいですね  ファッツェンぶれェ:いくぜ皆のもの  インデまぇン:もちろんだよ  ウィーゴリィイー:押さえつけて  サゾンファッツ:鉄線隊  メポポホン:居眠りさん  クベキャサス:焼いた材料(クベク)すする(ヤッサス) ぬ,2019/02/04 1:25:01
4,ID:IfHojCq10,◆新規固有名詞 (暫定)  ドグープ:目の奥(血の家？)  ファプタ:姫  メディポー:楽器  メディポトゥート:ヒト結晶の楽器  ゾーム:呪い   ◆えろこさんテンプレ  7巻P156　ヴエロエルコの重なった文字解読  https://i.imgur.com/LhiesoQ.png  「踏みにじられた」「わたしの」「かわいそうな」「かわいい」   ◆劇場版テンプレ  劇場版総集編　【前編】旅立ちの夜明け  2019年1月4日（金）公開   劇場版総集編　【後編】 放浪する黄昏  2019年1月18日（金）公開   ◆履歴のグラフ化  https://i.imgur.com/595JZMz.png  https://i.imgur.com/VzwWw8y.png  https://i.imgur.com/MP3i2BZ.png,2019/02/04 1:25:54
5,ID:IfHojCq10,>>1乙そす,2019/02/04 1:27:47
6,ID:nWXbtXeO0,スレ立て＆テンプレ  乙ットバス,2019/02/04 1:32:29
7,ID:IfHojCq10,ほしゅの羅針盤,2019/02/04 1:33:07
8,ID:IfHojCq10,ほすほす,2019/02/04 1:35:39
9,ID:IfHojCq10,ほす,2019/02/04 1:41:08
10,ID:IfHojCq10,ほすそす,2019/02/04 1:43:18
11,ID:IfHojCq10,ほすほすそす,2019/02/04 1:48:02
12,ID:O44Bdbla0,>>1にはたくさんのお礼が言いたい,2019/02/04 1:53:51
13,ID:s5MNFvcz0,連投規制かかってしまったからテンプレ貼り助かった  みんなありがとうそす,2019/02/04 2:30:31
14,ID:QfTCKe09a,それは「>>1乙」  君たち風に言うと  「願いを叶えるレス」だ,2019/02/04 9:46:11
15,ID:RsEuwPgt0,古い話題かも知れんけど、  ボ卿って折角作り上げた祝福の体  を破壊されても、ナナチ達出発に  エールを送ったりして、完全に  アビスに心奪われたサイコパス  なだけで、どうしても憎みきれ  ないな～と。  プルシュカへの愛情も本当に  (サイコパス的に)抱いていたよう  に思えてしまう。でないと、  プルシュカがあそこまで無垢の  愛情を抱かないような気がするんな～,2019/02/04 10:27:13
16,ID:6HVytvnEd,変な例えだけど、野良猫に餌やる迷惑オバさんの心の中は悪なのか？って話に近いと思う。,2019/02/04 11:03:16
17,ID:myT/j0nwd,>>16  ボンドルド卿にとってすべてはアビス解明の為に行っていることで、その他の些事は尊い犠牲（コラテラル・ダメージ）なのだ。  ナナチの前ではひたすら「ナナチはかわいいですね」って言ってる変なオッサンでもあるが…,2019/02/04 12:12:55
18,ID:eANd8ZPHd,ボ卿の中では愛情を注いだ愛娘と実験動物は矛盾しないんだよ,2019/02/04 12:14:24
19,ID:r99l/q/Qx,言ってみれば育児観察日記ブログ書いてるママさんみたいなとのか（ボっさん）,2019/02/04 13:59:19
20,ID:FH+Y4lBrM,成れ果てだらけなのにスレ立て時のこの手際  らほっす感パネェ,2019/02/04 17:48:59
21,ID:EthRiwVAr,成れ果ては基本何かしら究めているからな  キメているの間違いかもしれんが。,2019/02/04 18:24:59
22,ID:p6kZ5TMg0,ガンギマリなれ果て,2019/02/04 19:07:27
23,ID:PETw/jv90,キメてんだろ？くれよ…,2019/02/04 19:10:05
24,ID:uh8bbZhtp,>>16  実際問題、やり方は分かってるから  時間かければ再現できるだろうしな  祝福体も装備満載体も  ゾアホリックを壊さなかったリコさんは本当にロマン分かってるいい子だと思う   そういう意味じゃ  子供のいたずらで自家用車がぶっ壊れた時の金持ちのパパくらいのリアクションだと思う  ははは、おいたはいけませんよ  なんなら車壊せるくらい成長した我が子にゾクゾクしてるパパ,2019/02/04 19:22:12
25,ID:mRrqcExKa,先に前スレ埋めようぜ,2019/02/04 19:24:49
26,ID:zVhgF7RA0,めんメェ,2019/02/04 20:33:14
27,ID:6dVNfgeLa,じゅおいもーがんばえー,2019/02/04 20:46:46
28,ID:zJPu0cvC0,んなおつ,2019/02/04 21:01:18
29,ID:hofv83Ha0,おやおやスレと言う名の新しい階層ですね,2019/02/04 21:22:34
30,ID:qTYvi+xCp,素晴らしい  素晴らしい,2019/02/04 21:23:08
31,ID:4S0yPgh70,ボ卿マスクしてるから分からないけどずっとニヤついてる,2019/02/04 21:45:37
32,ID:HQhqYULI0,>>25  やつは多分、アビスをセメントで埋めるとか放射性廃棄物の捨て場にするとか  そういうんじゃないと怒らないんじゃないか,2019/02/04 21:52:27
33,ID:w5FKqQIz0,そんで君らは   なんだってこんな  ねばねばしたスレに？,2019/02/04 21:56:17
34,ID:S2rOucDT0,ボ卿は目の前で子供が無意味に傷つけられたら普通に怒りそう,2019/02/04 21:58:32
35,ID:1pZpdSr+0,無駄遣いは許されないですよね,2019/02/04 22:16:26
36,ID:ZLTjXdD6a,マルルクのマルルクからネバネバしたマルルクが出てきた,2019/02/04 22:28:03
37,ID:n4CKgSO2p,ヌルルク,2019/02/04 22:36:13
38,ID:dHJqY79g0,>>33  レグに前線基地を破壊されたとき  「おや？意識的ではないと・・・  にしても足場を壊すのはいただけませんね」←この「それ」を省略した「にしても」というのが  ボ卿っぽくなくさりげない怒りを感じないでもないでもない,2019/02/04 22:36:18
39,ID:dHJqY79g0,>>35  「飼育区画にいた貴重な生体もたくさん落ちてしまいました」←やっぱり子ども想いや  でも1ページめくるとめっちゃジェノサイドしてるボ卿,2019/02/04 22:42:53
40,ID:zVhgF7RA0,レグみたいに呪いを受けない干渉器は理想の姿なのに  あんまり興味なさそうだったの謎,2019/02/04 22:43:16
41,ID:dHJqY79g0,>>41  干渉器は6層探索時に既に捕獲研究済みだったのでは   まあレグは異質みたいで「精神があるなら、使えるか」と(おそらく)ゾアホ検討してみたり  戦ったら「その身体、ぜひ欲しい」と言ってみたりしてるけど  (胴から上は残しますとか言ってるからこの台詞はゾアホ目的でないように思われる),2019/02/04 22:52:41
42,ID:yLWTRj8y0,ダーウィンが来たツチブタ編 ようつべで見たけど  耳やしっぽや体毛がナナチっぽいのは知ってたけど  前足の穴掘り用の爪が想像以上にナナチだった   ナナチもいざとなったら高速で穴掘りするのかしら,2019/02/05 0:34:43
43,ID:IkOMgjis0,三巻の裏表紙でレグが裸エプロンしてるのホント出し難い。,2019/02/05 0:39:42
44,ID:XOd44BSC0,これもっと伸びていいレベルのMADだとおもうんだけど、こめもほとんどない  アビス人気は下火になっちゃったんですかね  https://www.nicovideo.jp/watch/sm34436983,2019/02/05 3:35:35
45,ID:KZnlmjhOd,アビスが下火になったんじゃない、ニコ…,2019/02/05 4:51:49
46,ID:yLWTRj8y0,>>45  技術高いなと思ったけど  一曲まるまる使って長すぎる そのわりに内容が見えてこない  台詞を頻繁に入れる割に流れが特になく内容が見えてこない  画面が速く変わりすぎで目が痛い   他の人気マッドに比べるとやっぱセンスないよ  直感的に伝わってこないというか,2019/02/05 7:07:05
47,ID:fjXs5Of20,>>45  何という映像詐欺,2019/02/05 8:03:54
48,ID:P+/bRtWta,下火だったら平日夜の新宿に300人も集まらんわ,2019/02/05 9:41:00
49,ID:NQBo63lza,>>45  MADは見た人を感動させるか笑わせるか騙すか怒らせるかしないと伸びない  たとえばライザさん隊がポ卿殲滅に行ったのをリコさんが追いかけてプルシュカを助けるみたいな内容だったら伸びた,2019/02/05 9:49:48
50,ID:Gp6tP+WMr,>>43  ナナチはされる側だよ,2019/02/05 10:31:22
51,ID:lP/rY+lb0,ニコはユーザー減って動画投稿ペースもガックリ落ちたな。運営が衰退の流れを自ら速めてるから自業自得だが,2019/02/05 10:56:03
52,ID:Ovvb8XDS0,んなんな動画,2019/02/05 11:04:42
53,ID:5LbX+7FQ0,度し難い動画いっぱいありそう,2019/02/05 11:12:03
54,ID:h2heG3tw0,おやおや動画,2019/02/05 11:58:17
55,ID:iFpPhv3m0,一人称視点の生放送やってそう,2019/02/05 12:04:53
56,ID:MnlFi2mxd,>>50  ポポポ…captured…emurated…,2019/02/05 12:21:17
57,ID:wi8SZDTdd,主も視聴者もすべて私ですよ,2019/02/05 12:22:15
58,ID:EkNt26eZa,>>54  カートリッジの作り方という動画があってだな   話は変わるけど、ファプタがレグのおへそいじいじしたのって薬指?小指?骨格とか詳しくないからわからん…,2019/02/05 12:28:24
59,ID:87oDRxzLp,女の子の名前でリコが1位に  https://baby-calendar.jp/smilenews/detail/9033,2019/02/05 12:34:23
60,ID:crHBT9v80,vtuber黎明卿である,2019/02/05 12:37:05
61,ID:XzXHPpU5a,前に見たボ卿のダンスはクオリティ高かったな,2019/02/05 13:11:40
62,ID:mhZgac1w0,ナナチはリコの左腕縫ってたしプルシュカもリコの右頬、右手の甲縫ってるし  ボ卿の弟子有能すぎだろ  女の子の頬なんて適当に縫ったら跡が残って度し難くなってしまうというのに   指の骨格なんていってもファプタの指がヒトと同じ5本なのかも明らかでないからなぁ,2019/02/05 13:28:37
63,ID:PdmqsVWfd,>>54  カートリッジの作り方という動画があってだな   何それ東欧で出回ってるスナッフビデオで、  性別が逆の金髪双子姉弟がマサカリ持って  売り付けてくるんでしょ。(拷問付き！),2019/02/05 14:07:27
64,ID:dlpzcQCva,つくし卿のニコ生配信中  ラーメン食ってるw,2019/02/05 14:41:42
65,ID:eVM+oQFPd,かたや不死身  かたやふわふわの体   どこに呪いがあるというのか,2019/02/05 14:59:50
66,ID:i+4ZrxLDd,マルルクには永遠に身体が成長しなくなる呪いをかけたよ,2019/02/05 16:36:10
67,ID:MnlFi2mxd,マルルクには801穴ができる呪いを掛けたよ,2019/02/05 16:46:24
68,ID:P/30mHsga,マルルクを覗くとき、マルルクもまたあなたを覗いているのだ,2019/02/05 16:59:07
69,ID:Ovvb8XDS0,どうぶつタワーバトルやってたらユーザー名マルルクさんがいた,2019/02/05 17:00:54
70,ID:y0a1sjS+0,なま放送してる,2019/02/05 17:58:07
71,ID:i+4ZrxLDd,マルルクとなまハメ放送したい,2019/02/05 18:15:24
72,ID:fjXs5Of20,>>72  お前がハメられる方だぞ,2019/02/05 18:16:36
73,ID:5LbX+7FQ0,それはそれであり,2019/02/05 18:19:10
74,ID:4HJieVJR0,マルルクのビッグマグナム,2019/02/05 18:25:11
75,ID:xFtterSS0,あなたがハメられる側です。なるべく耐えてくださいね,2019/02/05 18:25:46
76,ID:P+/bRtWta,10日更新に期待していいぐらい進んでそう？,2019/02/05 19:05:57
77,ID:wkjPf0vO0,>>77  10日はないな,2019/02/05 19:12:34
78,ID:WtoszEo4K,例の動画はナナチにゴロリの声を当てたのが笑ったｗ  「わー、こんな所まで飛んだよ……」,2019/02/05 19:15:42
79,ID:P+/bRtWta,>>78  そうか…今年中に来ればいい程度に気長に待つわ,2019/02/05 19:35:59
80,ID:jR9696xLd,QVC卿の動画も不謹慎ってレベル超えてるけどすき,2019/02/05 19:41:54
81,ID:dlpzcQCva,今回の生放送メモ   つくし卿、宮崎駿好き。  特に動く宮崎をめっちゃ集めてる。    描いてて自分のキャラに馴染まないときは、自分の好きな絵や描きたい雰囲気の絵をそばにめっちゃ置いてオーラを浴びろ。  オーゼンさんの最初のホラー絵を描いたときは、日本中のホラー映画の画像を画面いっぱいに並べて、この気持ち悪さよ読者のみんなに届け！と思いながら、気持ち悪くなりながら描いた。  （二回目のホラー顔はあれ？これギャグにも使えるんじゃね？と思って描いた）   スキレットはめっちゃいい。   荒木飛呂彦は自分の絵こそが王道だと思っている、と思う。   漫画でつらいのは、自分の好きじゃないコマも描かなきゃいけないところ。  描かなきゃ自分の好きなコマが活きてこないから描かなきゃいけない。   宮崎駿は常に怒ってるところが好き。  怒ってるところを見ていたい。   なれはての村の冒頭のシーン、ぐにゃぐにゃした村のシーンは、ズジスワフ=ベクシンスキー？の絵のオーラを浴びながら描いた。   ベクシンスキーの絵は静謐が素晴らしい。,2019/02/05 19:50:22
82,ID:jWIUv1rBd,えぇ宮崎駿の作品が好きなんじゃなくて宮崎駿そのものが好きなの？  おっさんじゃん困惑  つくし卿の外見は意識して寄せてた…？   ＞宮崎駿は常に怒ってるところが好き。  ファプタのモデルは宮崎駿説が,2019/02/05 20:12:10
83,ID:xsTqxiLVa,>>63  ボ卿の助手やるってことは倫理観を無視して実物の人体をいじりまくるってことだし、医療知識は凄いスピードで身につくんじゃないか  ナナチはボ卿と関わって得たものがほとんど夢を叶える助けになってるけど複雑だろうな,2019/02/05 20:13:24
84,ID:NQBo63lza,現実の医者も倫理無視できれば上達早いのかな？  でも病院行ったら殺される可能性高いから嫌だな,2019/02/05 20:17:04
85,ID:WtoszEo4K,ちょうどこないだそんなカビ医者が輪切りのホルマリン漬けを暗殺チームにプレゼントしてましたね……,2019/02/05 20:21:38
86,ID:87oDRxzLp,>>85  医学の研究は捗ると思うけど、  医療スキルという意味では成功体験の方が成長につながるのでは,2019/02/05 20:32:28
87,ID:YsDKYszlp,つくし卿やっぱりベクシンスキー好きだったか  ベクシンスキーの人間が溶けて無機物に融合するような絵は  たしかにイルブルっぽい   椅子に貼り付けにされた女の下半身みたいな絵が好きだ,2019/02/05 20:45:27
88,ID:uejvPrghp,>>85  今から70年以上前、ヨーロッパと中国でそれを実践した国があってな...   結論から言うとあんまり大した結果は出なかった   単に関わってた医者どもが無能or凡庸だっただけかもしれんがね,2019/02/05 20:46:22
89,ID:xvIUNENy0,>>82  ロリが好きじゃなくてロリコンが好きだった…？,2019/02/05 20:49:59
90,ID:aXP7HrtZa,昔の漫画でも命を救うためなら何やってもOKみたいなとこがあったねBJとか  某特撮みたいに事故に遭って目が覚めたらサイボーグになってたなんてちょっと嫌,2019/02/05 20:52:19
91,ID:QdSo9yNTx,ロボコップか,2019/02/05 20:59:15
92,ID:0yq3k3hQ0,>>59  何指かは分からんけど指は全部で5本  内2本はへそいじった指みたいに普段は折りたたんでるらしい,2019/02/05 21:13:57
93,ID:pAsujTBc0,奈落の底で嘘松,2019/02/05 21:40:41
94,ID:SA/mFPk70,パヤオはぶつくさ文句いいつつテキパキ仕事するところ良いよね,2019/02/05 21:49:08
95,ID:Ovvb8XDS0,パヤオが怒られてるように見える画像すき,2019/02/05 22:00:16
96,ID:iFpPhv3m0,ちょっと前に話題になってたロリコン好きが伏線だったってのか度し難え…,2019/02/05 23:23:04
97,ID:zR7wo9Ya0,宮崎駿  ロリコン   いやまだ、ツーアウトってとこか,2019/02/06 0:18:02
98,ID:GygoWuQ9a,ロリが好きな人が好きってショタコンじゃん！(錯乱),2019/02/06 0:24:10
99,ID:iwVBKSLa0,ナナチのぬいぐるみはよく話題に上るが  メイニャのぬいぐるみはまだかね,2019/02/06 0:51:43
100,ID:Ujgylo910,要望にお応えして、メイニャのぬいぐるみが発売決定！お腹を押すと尻腸が飛び出るよ！,2019/02/06 0:57:35
101,ID:1C5zpyRF0,まああディルド発売！,2019/02/06 0:59:44
102,ID:KcqDAh+aM,個人的にはあの帽子に隠れる生き物のぬいぐるみがほしい  クオリティ重視でお願いします。高くてもいい,2019/02/06 1:04:04
103,ID:GmiSoNCC0,>>47  表現キツイけど俺もコレだわ  場面が断片化され過ぎ&画面切り替わり早すぎて内容がよく分からない  例えば、オーゼンがなぜ度し難いのかが伝わってこない,2019/02/06 1:07:15
104,ID:U/KdVa/O0,>>99  かなり多いパターン（漫画家もこの流れ多い）   ロリ最高！乳とかキモい中学1年以上はBBA！  ↓  ロリとショタの絡みが美しエロくて最高！  ↓  ショタ最高！ショタ×ショタこそ至高！  ↓　　　　　　　　　　　　　　　　　　　↓（派生）  おね×ショタ最高！　　　　　　　ケモショタ最高  ↓　　　　　　　　　　　　　　　　　　　↓  ママ（年増）×ショタ最高！　　　ケモノ最高！  ↓　  ぽっちゃりママ最高！　ショタ最高！　ロリもやっぱりいいね最高！,2019/02/06 1:13:12
105,ID:7Ac5B6jV0,ケモナールートは行き止まりなのか……  やはり深淵,2019/02/06 2:16:53
106,ID:VZHGN7y1M,ケモナーは哺乳類から鳥類爬虫類に進化するぞ,2019/02/06 2:41:19
107,ID:RiD+kue10,ケモルートは全ての箇所から低確率で派生するんだよなぁ,2019/02/06 2:51:50
108,ID:iDJFzZzZ0,ケモナーの中でさらにロリがいいショタがいいお姉さんがママがガチムチがと細分化されていくわけで、  さらに深層へ潜るとメイニャのアナルローズ無修正はダメでしょとかクオンガタリの産卵管がえっちすぎとか蛇型干渉器くんちゃんの生っぽくないちんちんとか,2019/02/06 3:31:41
109,ID:u0Q4qURp0,巨乳好きがどんどん悪化して膨乳奇乳の女体改造系にいくエロ絵師・漫画家より被害はすくないかな,2019/02/06 4:15:53
110,ID:zcCiSOH80,でも超乳改造されたライザは見てみたいと思わないか？,2019/02/06 4:50:29
111,ID:CQJ43Hm70,卿的にライザの胸は水生物にやられてドロドロになったやつを描きそうな予感   ライザが上半身裸で振り向く(ドキドキ)  次のページをめくると(ザワザワ)  水生物で巨乳になったライザが1ページ  ファッ、なんやこれ期待したのと違う  ・・いや、でもこれもある意味期待通りや,2019/02/06 5:26:46
112,ID:kKPRfSYU0,ただのエログロが趣味ならアビス以外にも色々あんだろ...,2019/02/06 5:35:11
113,ID:o1Mf5Aeur,shota  ↓  Trap. → Shemale  ↓  Unknown Sexual <=== but, he's kawaii.  ↓  Trance Sexual → Skin Suit  ↓  Androgynous based woman,2019/02/06 6:22:42
114,ID:Yf1oPYGK0,性癖てのは一旦拡張されると原則元に戻らないからな  歳取れば取るほど許容範囲が増えていく,2019/02/06 7:08:05
115,ID:MiLWaMVfd,恐ろしいぞ…♂,2019/02/06 7:48:48
116,ID:VZHGN7y1M,元は男の娘が好きだったけど今じゃ♀成分あると許せない,2019/02/06 7:52:04
117,ID:k233r++od,ここのサイトでおねショタエロ漫画の広告がやたら出てくるのはそういう事だったのか！   微妙に小ジワが見え隠れするお師様に興奮してしまう最近,2019/02/06 8:50:27
118,ID:tq+0R4S+0,https://com.nicovideo.jp/community/co1694983  つくし卿のニコ生ってここであってる？  いっぺん聴いてみたかったけどtwitterじゃアナウンスなかったから聞き逃しちゃったよ,2019/02/06 9:17:00
119,ID:iwVBKSLa0,絵をみて「これだ！」と思わないならROMってろよ  と思ったけど他人の描いた絵を自分の絵と偽って公表することもできるからそれじゃ証明にならんな,2019/02/06 9:42:46
